Date,Station,"Alkalinity, total",Aluminum,Ammonia,Ammonium,Arsenic,BORON,Biochemical oxygen demand,"Biochemical oxygen demand, standard conditions",Cadmium,Chlorophyll a,Chromium,Cobalt,Conductivity,Copper,Depth,Dissolved Inorganic Nitrogen,Dissolved Organic Carbon,Dissolved Oxygen,Escherichia coli,Fecal Coliform,"Fecal Coliform, C","Fecal Coliform, M",Inorganic nitrogen (nitrate and nitrite),Iron,Iron_U,Kjeldahl Nitrogen,Lead,Lithium,Magnesium,Manganese,Mercury,Nitrate,Nitrate & Nitrite,Nitrite,Nitrogen,Organic Carbon,Organic Phosphorus,Orthophosphate,Oxidized Nitrogen,PP,Particulate Organic Carbon,Pheophytin a,Phosphorus,SIF,Secchi,Selenium,Silica,Silver,TCOLI_C,TCOLI_M,TDP,TKNW,"Temperature, water",Total Coliform,Total Hardness,Total hardness,Total suspended solids,Turbidity,Zinc,pH,Watershed,months,month,year,quarter,YearQuart
10/16/1995,AAG01,44,,,0.363999993,,,,,,,,,212,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,,,,,,14.39999962,,100,,67,55,,7.400000095,Anacostia Mainstem,1995-10,10,1995,4,1995Q4
10/18/1993,AAG01,46,,,0.300000012,,,,,,,,,230.3333333,,1,,,3.733333349,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,15.89999962,,70,,,26,,7.033333301,Anacostia Mainstem,1993-10,10,1993,4,1993Q4
10/31/1994,AAG01,64,,,,,,,,,,,,294,,0.5,,,5.049999952,,,,,,,,,,,,,,,,0.012,,,,,,,,,,1.100000024,0.300000012,,,,,,,,14.1500001,,90,,50,26,,7.049999952,Anacostia Mainstem,1994-10,10,1994,4,1994Q4
3/21/1994,AAG01,38,,,0.120999999,,,,,,,,,310,,0.5,1.428499997,,12.94999981,,,,,,,,,,,,,,1.299999952,1.307499946,0.01,,,,0.012,,,,,,,0.600000024,,,,,,,,6.900000095,,128,,4,13,,6.75,Anacostia Mainstem,1994-03,3,1994,1,1994Q1
3/25/1996,AAG01,49,,,,,,1.5,,,,,,389,,0,,,10.5,,140,,,,,,,,,,,,,2.349999905,,,,,,,,,,,,0.400000006,,,,,3000,,,8,,102,,6,22,,7.099999905,Anacostia Mainstem,1996-03,3,1996,1,1996Q1
4/24/1995,AAG01,62,,,0.202999994,,,6.099999905,,,,,,311,,0,0.979499996,,7.300000191,,,,,,,,,,,,,,0.757000029,0.776499987,0.026000001,,,,0.005,,,,,,,0.300000012,,,,,,,,13.80000019,,86,,,30,,7.300000191,Anacostia Mainstem,1995-04,4,1995,2,1995Q2
4/25/1994,AAG01,60,,,0.156000003,5,,2.099999905,,5,,12,,303,25,0.5,0.935000002,,7.400000096,,,,,,,2400,,8,,,,0.200000003,0.754000008,0.779999971,0.025,,,,0.008,,,,,,,0.400000006,5,,,,,,,17.25,,96,,35,29,88,6.900000095,Anacostia Mainstem,1994-04,4,1994,2,1994Q2
5/22/1995,AAG01,56,,,,,,,,,,,,249,,0,,,4.199999809,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,,,,,,,20.20000076,,88,,51,27,,6.900000095,Anacostia Mainstem,1995-05,5,1995,2,1995Q2
5/23/1994,AAG01,52,,,,,,2.5,,,,,,302,,0.5,,,8.300000191,,,,,,,,,,,,,,,,0.412,,,,0.007,,,,,,3.690000057,0.5,,,,,,,,18.89999962,,84,,0,27,,7,Anacostia Mainstem,1994-05,5,1994,2,1994Q2
6/15/1993,AAG01,,,,,,,,,,,,,274.6666667,,1.033333334,,,4.866666635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.19999949,,,,,,,,Anacostia Mainstem,1993-06,6,1993,2,1993Q2
6/19/1995,AAG01,64,,,,5,,3,,5,,10,,272,25,0,,,3.900000095,,,,,,,2560,,5,,,,,,,0.029999999,,,,,,,,,,,0.200000003,5,,,,,,,24.60000038,,76,,,21,20,7,Anacostia Mainstem,1995-06,6,1995,2,1995Q2
6/27/1994,AAG01,56,,,0.495000005,,,3.200000048,,,,,,217,,0,,,3.799999952,,,,,,,,,,,,,,,,0.050000001,,,,,,,,,,2.579999924,0.300000012,,,,,,,,25.70000076,,84,,0,65,,6.300000191,Anacostia Mainstem,1994-06,6,1994,2,1994Q2
7/13/1993,AAG01,,,,0.189999998,,,3.599999905,,,,,,312,,0.5,,3.900000095,4.350000143,,173,,,,,,,,,,,,,,0.050000001,,5.699999809,,,,,1.799999952,,,4.190000057,0.400000006,,,,,,,,29.34999943,,,,,,,6.649999857,Anacostia Mainstem,1993-07,7,1993,3,1993Q3
8/21/1995,AAG01,58,,,,,,,,,,,,284,,0.5,,,6.649999857,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,0.300000012,,,,,,,,25.19999981,,86,,43,25,,6.799999952,Anacostia Mainstem,1995-08,8,1995,3,1995Q3
8/23/1993,AAG01,,,,0.200000003,,,,,,,,,275,,0.5,,,2.300000072,,,,,,,,,,,,,,,,0.02,,,,0.01,,,,,,2.640000105,0.400000006,,,,,,,,25.34999943,,,,22,,,6.599999905,Anacostia Mainstem,1993-08,8,1993,3,1993Q3
8/29/1994,AAG01,46,,,,,,,,,,,,212,,0,,,4.599999905,,,,,,,,,,,,,,,,,,,,,,,,,,10.80000019,0.200000003,,,,,,,,24.89999962,,114,,37,44,,6.900000095,Anacostia Mainstem,1994-08,8,1994,3,1994Q3
9/18/1995,AAG01,56,,,,,,,,,,,,253,,0,,,3.700000048,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,,,,,,19.70000076,,64,,64,60,,7,Anacostia Mainstem,1995-09,9,1995,3,1995Q3
9/26/1994,AAG01,48,,,,,,2.400000095,,,,,,199.5,,0.5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2.670000076,0.300000012,,,,,,,,20.15000057,,62,,13,30,,6.950000048,Anacostia Mainstem,1994-09,9,1994,3,1994Q3
9/27/1993,AAG01,,,,0.239999995,,,,,,,,,224,,0,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.710000038,0.300000012,,,,,,,,20.79999924,,36,,44,32,,6.800000191,Anacostia Mainstem,1993-09,9,1993,3,1993Q3
